Comment,Designator,Footprint,LCSC
0805W8F1003T5E,"R1,R2",RESC2013X65N,C149504
CL21A106KAYNNNE,"C10,C9",CAPC2012X135N,C15850
0603WAF1001T5E,"R4,R5",RESC1608X55N,C21190
KT-0603R,D2,LED_KT-0603R,C2286
0603WAF7501T5E,R3,RESC1608X55N,C23234
CL31B104KBCNNNC,"C1,C2,C3,C4",CAPC3216X180N,C24497
SW_SPDT,SW1,mySwitch,C2890358
KT-0805W,D1,LED_KT-0805W,C34499
DRV8837,"MotorDriver1,MotorDriver2",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,C39159
TP4056,U1,SOP127P600X175-9N,C725790
S2B-PH-K-S_LF__SN_,J2,JST_S2B-PH-K-S_LF__SN_,
